haploblock_id	chrom	start	end	n_snps	n_clusters	hash_length	cluster_diff_score
chr21_14215892_14284114	chr21	14215892	14284114		464	20	
chr21_14284114_14356253	chr21	14284114	14356253		650	20	
chr21_14356253_14394333	chr21	14356253	14394333		20	20	
chr21_14394333_14469916	chr21	14394333	14469916		180	20	
chr21_14469916_14491653	chr21	14469916	14491653		762	20	
chr21_14491653_14526114	chr21	14491653	14526114		54	20	
chr21_14526114_14578460	chr21	14526114	14578460		526	20	
chr21_14578460_14676745	chr21	14578460	14676745		722	20	
chr21_14676745_14684529	chr21	14676745	14684529		23	20	
chr21_14684529_14719120	chr21	14684529	14719120		178	20	
chr21_14719120_14763849	chr21	14719120	14763849		376	20	
chr21_14763849_14842596	chr21	14763849	14842596		51	20	
chr21_14842596_14869547	chr21	14842596	14869547		3	20	
chr21_14869547_14883639	chr21	14869547	14883639		7	20	
chr21_14883639_14943517	chr21	14883639	14943517		252	20	
chr21_14943517_14996326	chr21	14943517	14996326		571	20	
chr21_14996326_15066458	chr21	14996326	15066458		201	20	
chr21_15066458_15083205	chr21	15066458	15083205		372	20	
chr21_15083205_15115146	chr21	15083205	15115146		413	20	
chr21_15115146_15165077	chr21	15115146	15165077		295	20	
chr21_15165077_15210390	chr21	15165077	15210390		303	20	
chr21_15210390_15290364	chr21	15210390	15290364		1051	20	
chr21_15290364_15323137	chr21	15290364	15323137		434	20	
chr21_15323137_15430235	chr21	15323137	15430235		305	20	
chr21_15430235_15469286	chr21	15430235	15469286		53	20	
chr21_15469286_15496556	chr21	15469286	15496556		198	20	
chr21_15496556_15550731	chr21	15496556	15550731		475	20	
chr21_15550731_15574023	chr21	15550731	15574023		163	20	
chr21_15574023_15639705	chr21	15574023	15639705		593	20	
chr21_15639705_15660404	chr21	15639705	15660404		4	20	
chr21_15660404_15690060	chr21	15660404	15690060		58	20	
chr21_15690060_15937303	chr21	15690060	15937303		1008	20	
chr21_15937303_15982371	chr21	15937303	15982371		316	20	
chr21_15982371_16061946	chr21	15982371	16061946		59	20	
chr21_16061946_16150524	chr21	16061946	16150524		266	20	
chr21_16150524_16191374	chr21	16150524	16191374		422	20	
chr21_16191374_16239920	chr21	16191374	16239920		67	20	
chr21_16239920_16280269	chr21	16239920	16280269		168	20	
chr21_16280269_16297248	chr21	16280269	16297248		2	20	
chr21_16297248_16319457	chr21	16297248	16319457		25	20	
chr21_16319457_16353295	chr21	16319457	16353295		285	20	
chr21_16353295_16370010	chr21	16353295	16370010		2	20	
chr21_16370010_16378468	chr21	16370010	16378468		176	20	
chr21_16378468_16402156	chr21	16378468	16402156		199	20	
chr21_16402156_16456485	chr21	16402156	16456485		62	20	
chr21_16456485_16580241	chr21	16456485	16580241		521	20	
chr21_16580241_16630157	chr21	16580241	16630157		67	20	
chr21_16630157_16677766	chr21	16630157	16677766		678	20	
chr21_16677766_16724962	chr21	16677766	16724962		5	20	
chr21_16724962_16849162	chr21	16724962	16849162		489	20	
